,2073914588,1303264515,1020035670,3602325873,280202934,980223265,638377523,3804797180,4212873174,2909736256,2970245457,913455330,2345964788,2885704548,2468120219,984036145,1555459584,3271446681,1396104300,1815811163,447608207,3438267930,3489975583,1838841687,1200201946,3933622170,1112795154,2687257684,1523432205,444540997,1409705081,849374892,676339279,734804233,3429558157,114292469,2632081473,3740857175,3521912058,4031073942,1957240672,105379305,4111827752,1253541804,3604556986,1995594297,1764564418
2073914588,,11,12,10,12,11,13,10,11,11,10,12,11,12,11,11,12,11,11,11,13,12,11,12,11,11,12,10,13,13,11,12,13,12,13,12,12,9,12,11,13,11,11,13,12,10,9
1303264515,16,,17,13,15,17,16,14,14,16,13,16,14,17,18,15,17,15,17,15,18,16,16,18,14,17,16,15,17,18,17,17,19,15,19,17,17,14,16,14,18,15,15,17,17,15,14
1020035670,18,17,,15,19,17,20,15,17,16,15,18,17,19,17,18,18,18,18,17,20,18,18,20,17,18,18,16,21,19,18,19,19,19,22,19,19,15,18,17,21,19,15,18,19,18,14
3602325873,18,17,20,,20,17,20,17,18,18,17,19,17,19,18,17,20,18,18,19,20,19,17,20,18,18,19,18,19,20,19,19,18,19,20,20,18,14,20,17,19,18,17,18,19,17,15
280202934,14,13,16,13,,14,15,14,14,13,14,16,13,15,14,14,15,15,14,16,15,15,15,15,14,13,15,15,16,15,14,15,13,14,16,15,15,11,15,13,16,15,13,15,15,13,12
980223265,14,15,15,11,14,,14,13,13,14,12,15,13,15,14,13,15,13,15,14,15,16,15,16,12,15,13,13,15,17,15,16,16,13,16,15,15,12,14,14,15,14,13,15,14,12,11
638377523,13,11,13,10,11,11,,9,11,10,9,12,10,11,12,11,12,12,11,10,12,12,12,13,11,11,12,11,14,13,13,12,13,12,15,13,12,9,12,10,13,11,10,11,12,10,8
3804797180,17,16,18,14,19,17,17,,16,17,17,18,17,17,16,15,17,17,17,18,16,18,18,17,15,15,17,18,17,17,16,16,16,17,20,18,18,14,16,16,19,16,17,17,17,16,17
4212873174,14,13,15,12,15,14,15,12,,13,13,15,14,13,12,13,16,14,13,13,15,14,14,16,13,13,13,14,15,15,14,15,15,15,15,14,14,12,15,15,16,14,13,14,13,12,11
