,3335468891,2709328791,2037297340,3603575204,2007802632,2039724764,1900636040,2617163246,2101697528,382924349,2325468779,227853498,436313978,218885669,1373673275,1030529304,320713445,3078739502,2388392825,3699090776,1150470113,386224595,3060968781,2708292385,2901962571,655367869,1703250608,1411109438,1525484450,280302851,498641206,3825914663,915864418,275060562,2372024942,2452919141,1315253056,976237130,1659881813,3991447424,858760821,1518665259,683467122,26787589,3337860836,3590710820
3335468891,,153,61,23,34,55,56,863,44,44,23,30,50,30,25,53,162,42,62,159,79,31,30,98,123,41,36,47,32,29,37,54,363,30,26,37,55,43,30,36,61,37,540,59,47,43
2709328791,197,,50,25,37,53,42,648,45,42,37,45,51,28,33,47,134,44,61,115,51,33,49,94,90,36,38,42,38,37,43,55,298,33,40,56,44,47,30,43,58,52,425,59,52,60
2037297340,44,28,,17,14,27,24,54,32,21,27,22,24,18,20,21,21,20,23,28,190,19,38,31,63,26,22,22,22,20,27,21,48,19,14,26,35,28,13,20,19,23,41,27,27,28
3603575204,34,29,34,,15,22,20,61,30,22,32,23,25,13,21,22,22,25,24,25,28,22,40,28,32,19,21,21,20,25,26,20,46,15,18,25,41,28,14,22,20,27,42,26,28,44
2007802632,64,54,37,19,,45,51,168,44,28,33,28,39,66,26,32,49,44,38,48,35,32,56,46,44,40,67,35,36,43,33,44,96,31,27,36,37,34,33,48,37,39,126,38,39,38
2039724764,84,63,56,23,36,,326,183,40,34,37,44,125,28,29,130,63,142,35,65,47,34,33,58,57,204,34,45,115,181,39,53,115,97,32,40,95,42,35,41,37,36,128,41,42,47
1900636040,81,47,48,19,40,309,,173,566,29,27,26,377,27,22,34,48,555,28,48,48,23,25,41,56,388,25,35,187,340,34,34,100,517,21,26,367,32,24,29,30,25,116,32,32,34
2617163246,1438,839,123,70,149,200,199,,140,169,56,90,182,106,69,198,907,174,299,723,193,118,95,519,545,146,137,149,111,108,135,211,2088,69,89,118,122,152,118,132,326,144,3209,276,187,177
2101697528,66,52,66,31,35,39,587,126,,38,45,31,275,28,36,37,42,448,39,47,56,37,84,50,61,35,44,40,40,46,59,36,85,545,28,41,319,59,26,46,36,47,89,50,52,58
382924349,47,35,31,16,16,24,22,109,27,,20,18,21,15,19,23,30,21,26,33,29,19,27,30,35,16,17,21,19,18,22,21,61,18,17,19,25,24,15,22,21,23,77,25,23,30
2325468779,20,25,33,19,15,21,16,29,26,16,,21,20,10,19,18,17,22,41,20,24,21,34,23,23,16,18,18,20,21,24,16,32,16,13,20,27,24,12,22,18,25,25,23,31,33
227853498,23,27,23,12,11,22,13,41,16,13,19,,27,10,19,16,22,22,18,21,19,14,19,35,18,10,27,19,16,15,16,35,39,30,23,26,24,15,19,21,13,19,31,15,16,29
436313978,46,37,30,16,19,76,242,101,170,18,21,32,,16,19,24,34,155,23,32,27,18,28,36,32,85,25,25,52,77,25,33,71,157,20,26,110,24,21,22,20,24,72,24,24,37
218885669,111,82,94,34,129,67,68,234,71,53,45,50,66,,41,62,76,52,62,74,89,47,134,84,86,61,192,62,52,54,59,107,140,49,50,51,84,63,64,87,55,53,168,67,70,83
1373673275,48,49,53,27,27,37,29,80,46,34,43,49,40,21,,39,39,54,43,61,41,42,52,55,51,30,37,53,42,48,55,46,63,40,40,40,48,46,31,53,36,43,56,50,42,60
1030529304,71,48,39,20,22,113,31,158,33,28,27,28,35,22,27,,47,38,35,55,34,29,32,45,49,33,26,36,30,29,32,37,84,27,25,30,38,33,28,33,31,35,105,33,35,42
320713445,206,132,37,19,33,52,42,690,35,36,24,36,46,26,26,45,,45,55,106,44,31,30,94,86,31,35,41,32,30,36,52,312,30,29,36,33,39,32,37,60,36,461,54,41,47
3078739502,63,50,41,25,34,138,568,155,442,29,37,42,246,21,42,42,53,,42,56,34,42,50,63,56,169,38,32,98,188,46,42,96,375,33,46,227,43,43,40,40,45,102,42,38,56
2388392825,132,100,67,34,42,49,40,377,55,51,99,49,53,35,47,55,92,59,,104,60,55,59,142,119,48,47,44,41,45,54,65,188,32,37,44,78,52,45,54,66,57,259,64,68,71
3699090776,194,108,47,20,31,51,40,527,38,37,28,34,42,24,38,51,102,46,60,,44,36,32,86,102,45,33,41,37,33,40,58,224,33,35,36,36,43,34,43,47,35,311,51,45,52
1150470113,86,43,285,21,20,33,36,127,41,30,30,27,32,26,23,28,38,25,31,40,,23,43,44,79,31,28,30,26,24,32,29,82,23,19,31,45,36,17,26,27,28,89,36,34,36
