,1502148387,2756370435,3176949924,2954818895,3558595220,3385530403,4160600163,1914047609,1759921803,1392494589,3488938021,2321806454,3622395341,686062913,2933680667,2227115160,2607425063,1192677924,3689578949,3280145754,3129336168,3358969264,2783225985,3631634526,3920050901,3565439934,4006061010,620173462,2636031260,4145560874,3615436226,2191062999,4276811682,2738364134,1056914775,321137469,3437618638,2977088499,485544571,2528002948,4036039428,214196709,441205562,202774958,2496646668,1422274723,2825726158,40526029,2035516552,1778685298,1507493681,766932368,399753662,1042824172,3073407383,2515222356,3244698068,445286775,2083075156,2063853279,1919708121,1966390989,7214742,2676015080,654303021,2500501415,395245054,3729892966,3341419181,4037141250,927765794,2388840311,3725435867,336597329,2565202574,382550638,413943961,2807742179,3811751592,2093451317,4071317805,139060332,2394078607,3506540866,2444065701,4037611794,1019054022,2304728238,584419852,2718647288,1588362727,69728726,1404972461,2257681222,2758904259,3315679999,2411179187,1526384679,4213870869,62699417,2301915325,3840941438,1915606498,139803936,2807410227,2237630737,869067415,2762884929,1357353590,2586556446,974695197,1856910577,184649436,12126948,1302542552,216927394
1502148387,,31,25,15,23,26,29,29,32,10,18,28,26,30,11,26,21,32,15,25,35,25,31,27,28,29,30,14,31,30,28,33,28,30,33,29,25,27,15,13,15,20,32,30,12,15,28,27,34,29,26,28,18,31,26,30,27,16,14,20,32,20,28,12,30,30,35,30,19,28,24,21,27,12,11,23,12,31,29,12,14,30,18,12,29,22,31,11,32,31,22,27,28,27,31,29,31,28,27,14,25,25,31,23,13,28,26,27,14,19,28,33,24,15,24,29
2756370435,32,,26,16,25,29,30,31,34,12,19,30,30,35,12,28,24,32,17,25,36,28,34,27,31,27,35,14,34,31,29,35,33,35,36,33,27,28,17,14,18,22,35,32,14,18,30,30,39,30,29,31,20,37,28,30,31,19,15,23,36,22,31,13,32,33,37,32,20,28,25,24,28,13,12,24,14,30,30,13,16,34,21,13,31,23,34,13,34,35,22,28,31,27,35,29,34,29,30,17,27,26,34,26,15,30,28,27,15,22,30,37,26,16,27,33
3176949924,23,23,,14,22,26,22,25,23,11,17,26,26,25,10,26,21,24,16,22,25,26,26,25,25,22,23,12,23,23,25,25,24,27,26,21,24,24,14,12,16,18,25,29,13,16,23,24,28,25,23,27,17,23,24,24,28,18,12,22,26,20,29,13,26,24,26,21,18,23,23,24,22,12,12,23,12,23,23,12,13,26,20,11,23,21,24,9,26,26,19,26,28,25,26,23,23,22,25,17,24,22,28,22,15,22,22,22,15,19,24,24,25,14,22,22
2954818895,15,16,15,,25,16,16,19,14,23,38,21,15,15,38,17,22,15,24,15,17,15,16,19,16,15,17,29,15,17,18,14,16,17,15,14,15,18,24,30,19,31,15,16,34,40,14,15,21,16,21,15,32,18,21,18,14,24,34,18,14,14,16,31,17,15,15,13,16,16,24,26,14,54,30,23,30,16,17,52,41,17,18,53,21,24,14,39,14,16,15,15,16,16,16,15,19,15,17,16,17,14,23,28,56,16,12,15,49,27,15,14,15,34,15,19
3558595220,14,14,14,15,,15,15,15,13,10,16,15,14,14,13,15,18,15,13,13,15,14,15,16,15,13,15,14,15,15,15,14,15,16,14,14,14,17,13,14,12,17,14,15,12,14,14,13,19,14,17,14,15,16,16,16,13,15,14,16,13,11,14,12,15,14,14,13,14,15,20,18,13,13,12,19,11,14,15,13,13,16,16,13,17,19,13,10,13,15,11,14,15,14,15,14,15,14,15,11,15,13,20,21,15,14,11,14,10,15,15,13,14,13,13,16
3385530403,24,27,26,15,23,,23,27,25,13,18,25,27,28,11,27,23,25,18,23,29,28,31,27,29,25,25,13,25,25,25,27,27,30,29,25,25,25,16,14,18,19,28,33,14,17,25,26,30,26,24,31,18,27,24,26,32,21,13,25,31,23,32,14,30,27,30,25,19,24,25,27,25,12,14,24,14,23,25,13,14,31,23,11,25,24,26,11,32,28,21,29,32,26,31,23,25,26,28,20,24,25,30,23,16,24,24,23,16,21,26,27,27,15,23,24
4160600163,23,23,19,13,21,20,,19,23,8,16,20,18,23,10,21,19,21,13,20,22,20,23,20,21,19,23,12,23,22,21,22,23,25,23,20,19,22,12,11,13,17,23,21,11,13,21,22,27,21,21,20,16,23,21,25,19,14,11,17,21,14,20,10,24,22,24,19,21,21,21,19,18,11,9,21,11,24,24,10,12,25,16,11,24,20,22,8,20,24,16,19,20,19,22,29,24,18,22,12,20,18,25,21,12,21,18,19,11,16,21,23,19,13,18,25
1914047609,29,30,27,19,26,29,25,,26,9,19,38,32,28,14,29,23,29,16,24,40,25,31,31,29,27,28,14,27,29,31,30,24,28,31,31,26,28,18,13,16,24,29,34,13,17,25,25,35,31,34,31,19,34,33,27,31,17,17,21,35,23,30,11,30,28,32,33,21,28,24,22,33,13,12,24,12,25,29,12,18,30,19,12,31,23,27,12,31,29,25,31,31,29,31,28,32,32,26,13,28,25,35,29,14,28,26,28,14,19,25,31,24,15,28,31
1759921803,43,45,34,18,29,36,39,34,,18,22,36,34,44,15,35,27,40,22,36,40,41,46,32,42,35,43,18,38,37,38,47,46,44,48,35,36,36,19,18,22,25,54,43,18,22,42,50,41,38,35,42,23,39,36,37,41,24,17,29,42,29,43,19,41,43,50,36,24,37,29,30,32,15,15,27,19,43,35,16,18,40,26,16,38,26,48,13,43,44,27,38,39,38,43,42,41,32,44,24,33,35,37,29,19,34,42,33,20,28,43,51,38,20,33,42
