,1382453454,1700888620,694280533,2644625898,3184782712,1739898123,1328565537,3581582733,4005755484,1193222031,426723761,1178905719,4105530383,3428606835,3085008487,1470478160,4156663780,2041438013,2996067169,2949166752,1916330293,1002927274,1124433709,1288976342,1855386605,789242809,1029869657,4127407420,1149769979,4215509619,3341131410,843542988,3639593017,848297695,3643219622,952719540,1949883677,1440690038,847862091,4081870582,1853694571,84784818,668163508,529127681,1716537954,3835138089,2066413710,1577339411,3271355042,1170150980,3761909964,1861985702,270492580,417707648,440329045,1760541481,3360826626,1713202216,4070468647,1621293506,420241911,4151494137,4072199384,2015576525,2166572434,657405697
1382453454,,21,25,97,44,30,15,20,32,25,36,17,34,21,17,26,33,30,29,41,22,25,28,40,29,37,27,23,38,29,30,34,44,41,39,21,41,36,28,18,18,32,24,28,30,24,35,15,24,29,35,23,31,77,22,107,19,18,29,48,31,24,23,25,40,22
1700888620,8,,8,31,11,10,28,22,7,5,7,14,7,24,13,6,12,26,10,10,7,7,12,9,6,6,28,34,6,6,7,8,10,9,6,9,7,8,8,9,12,27,22,7,28,5,7,17,5,16,5,5,6,35,9,51,10,25,18,34,8,10,25,26,30,18
694280533,36,29,,85,45,35,24,27,32,31,35,24,34,31,19,29,36,36,30,32,28,27,33,36,34,33,34,29,32,31,30,37,41,36,33,34,38,40,25,29,30,43,29,29,34,27,33,22,32,42,34,27,33,69,24,87,31,26,35,46,39,37,33,34,44,30
2644625898,53,43,32,,68,54,22,38,33,18,25,25,30,49,22,16,40,85,39,45,20,21,71,43,23,26,40,65,24,21,32,29,69,62,40,58,42,41,21,37,47,115,60,31,79,16,32,24,25,67,24,14,17,281,18,409,48,31,68,154,23,78,70,50,127,52
3184782712,28,18,20,80,,24,13,16,25,19,23,15,29,21,13,17,25,28,24,27,17,19,25,32,22,21,23,20,24,20,22,23,33,32,26,18,26,27,18,15,17,32,21,20,25,19,22,14,18,29,22,16,22,63,16,89,17,16,29,40,24,20,20,23,35,20
1739898123,41,36,33,135,51,,26,29,34,29,36,28,35,34,24,28,38,45,27,37,29,35,43,44,33,33,47,40,32,31,34,38,46,46,32,32,37,38,30,29,31,47,41,34,46,29,37,27,27,54,28,28,33,111,27,153,33,30,50,69,39,36,39,43,61,34
1328565537,6,29,6,17,8,8,,22,6,5,5,15,6,26,11,5,9,24,8,9,7,6,10,6,6,5,30,37,5,5,6,6,8,7,5,7,5,6,7,9,12,24,15,5,31,5,5,17,4,13,4,5,6,22,9,39,8,25,16,35,7,8,21,26,31,16
3581582733,8,24,7,29,10,9,23,,7,5,7,13,7,19,10,6,11,21,9,9,7,7,10,7,6,6,16,26,6,5,7,8,12,9,8,8,7,7,7,7,8,25,14,6,18,5,6,17,5,12,6,5,6,34,9,49,8,15,19,28,8,9,20,17,24,17
4005755484,23,12,16,43,27,18,11,12,,16,24,12,25,13,12,17,26,16,17,20,16,18,18,26,19,20,19,12,27,22,18,19,27,26,17,18,26,23,20,16,18,17,15,19,18,21,25,11,19,21,22,18,23,35,16,40,17,12,16,22,24,19,18,15,19,14
1193222031,43,24,37,58,49,36,22,23,39,,50,26,41,30,20,35,40,29,35,40,31,36,30,44,46,45,33,21,42,40,40,43,48,43,44,38,51,59,33,30,31,29,24,39,37,40,42,20,48,48,49,48,44,47,27,58,40,25,33,42,47,41,33,30,34,30
426723761,33,17,22,43,33,24,13,16,31,27,,15,33,17,15,27,32,19,24,24,21,25,20,34,31,30,21,15,34,27,27,26,32,28,21,17,35,27,24,15,15,25,18,28,20,26,30,14,24,20,26,30,28,36,19,43,15,16,19,24,35,15,17,19,22,17
1178905719,6,14,6,18,9,8,14,12,6,6,6,,6,14,9,5,17,12,13,8,6,5,9,7,6,5,17,16,5,5,6,7,7,8,5,8,6,7,14,7,8,15,24,5,14,5,6,33,5,13,5,5,6,28,14,26,9,11,17,18,7,7,13,16,16,11
4105530383,24,13,17,40,33,18,12,13,25,17,26,12,,22,10,21,24,20,34,28,17,21,23,27,23,24,19,14,26,23,20,20,33,27,18,13,27,24,21,12,18,30,14,20,17,22,22,16,18,23,26,19,26,37,17,36,13,13,19,20,30,14,13,18,21,17
3428606835,8,23,8,35,13,9,25,18,7,7,7,14,12,,12,6,11,35,18,15,8,7,14,9,7,7,36,28,6,6,8,8,12,10,7,10,9,9,8,10,15,50,12,7,36,6,7,14,6,20,8,6,8,36,7,55,12,25,24,41,9,11,13,31,39,23
3085008487,3,6,2,8,4,3,5,4,3,2,3,4,2,6,,2,5,6,2,3,3,3,3,3,2,2,7,6,3,2,3,3,3,4,2,3,2,2,5,3,4,7,4,3,9,2,3,5,2,3,2,2,3,9,3,12,3,6,6,9,4,3,6,5,7,5
1470478160,37,22,29,43,39,30,18,21,35,29,42,18,42,22,19,,38,24,28,32,28,32,24,40,35,39,23,21,38,37,32,33,37,37,28,20,36,34,34,22,20,26,20,34,25,40,40,19,31,24,35,31,39,38,28,45,19,21,24,29,43,19,22,25,26,21
4156663780,21,19,16,46,24,18,14,16,23,15,22,28,21,18,16,16,,21,22,18,16,17,17,23,19,19,22,18,22,20,18,17,23,22,14,16,22,20,25,15,16,25,29,17,22,18,21,35,18,21,20,17,20,50,23,53,16,15,22,28,24,19,22,19,25,16
2041438013,12,28,10,66,18,14,25,21,9,7,9,13,11,38,13,7,14,,15,16,8,8,19,12,9,8,33,31,8,7,10,10,16,15,10,13,11,11,9,13,17,51,15,9,40,7,9,16,7,22,7,6,8,66,9,101,13,28,26,56,10,18,19,32,52,27
2996067169,68,59,48,166,88,46,46,54,55,48,62,80,110,112,32,46,81,82,,107,59,42,77,65,67,70,80,53,61,57,65,49,94,80,65,51,95,70,67,41,54,180,84,61,67,59,46,95,54,104,77,39,55,140,52,141,42,45,90,78,55,45,47,83,83,83
2949166752,67,44,37,137,70,44,38,35,46,38,44,33,64,65,26,36,47,65,75,,36,36,50,55,43,56,66,49,48,47,45,43,71,66,54,36,61,53,47,33,41,81,42,44,65,47,44,32,39,70,52,32,46,109,35,151,40,41,58,86,46,38,38,60,74,50
1916330293,15,12,13,26,19,15,12,12,15,13,16,10,17,15,10,13,18,14,17,15,,15,14,19,16,16,16,12,16,16,15,18,19,16,12,10,17,16,15,11,12,16,12,14,16,13,17,13,12,21,16,13,19,23,12,27,14,11,16,18,18,10,12,16,16,22
1002927274,20,14,15,31,24,21,13,13,21,17,22,12,24,14,12,18,23,16,14,18,17,,16,25,20,21,19,14,21,22,18,19,23,21,14,12,20,20,24,13,14,17,14,20,16,21,22,16,17,22,18,22,22,27,18,34,13,13,19,19,26,12,14,17,19,14
1124433709,13,14,10,60,18,14,11,11,11,8,10,11,15,16,9,7,12,20,15,14,9,9,,13,9,10,18,15,9,7,10,10,17,16,10,13,12,12,8,10,15,25,17,10,18,7,9,12,7,24,7,6,8,51,7,66,13,11,21,30,10,18,14,19,26,15
1288976342,25,14,16,51,32,21,10,12,23,16,23,11,24,15,11,18,23,18,18,21,17,20,18,,21,22,21,15,24,23,19,20,29,26,20,13,25,23,22,12,13,18,16,18,19,19,26,12,16,27,20,17,22,43,16,60,13,12,24,27,23,14,15,18,24,14
