,1091469147,2580799145,554107538,765399479,3488958014,3867340014,2033496620,2492187213,3982105842,4004592883,3937464902,2555249116,386631495,3240907950,3715586638,3972215254,2194774824,610788057,3850355773,807193549,1292108113,16000877,2917485394,35948783,4155036867,2693574631,3032590890,3082449657,4157856404,3057176715,1917496868,3201664253,4092212159,2135483315,3943478019,2863119743,2180320626,2029132200,1110769878,1238918475,587989424,1603578594,2260258047,732288133,3456371493,1969017220,1787981019,1450785920,3050340390
1091469147,,38,34,35,34,25,39,28,21,33,24,31,32,37,41,35,26,36,36,33,38,36,30,31,31,24,31,26,44,3,32,26,27,27,37,39,26,46,26,23,31,34,43,22,32,30,34,29,29
2580799145,55,,51,48,54,38,54,42,29,42,34,43,55,54,60,59,42,55,51,56,51,49,46,47,46,35,50,32,62,5,56,42,43,47,55,58,45,66,44,33,37,56,67,37,45,47,52,49,47
554107538,32,34,,29,38,23,32,26,20,34,19,26,28,28,34,31,24,42,31,29,31,29,40,30,37,24,27,20,39,3,27,25,24,31,30,34,25,36,25,21,22,29,35,31,34,27,30,27,26
765399479,32,31,28,,27,22,35,26,20,26,20,27,28,29,35,32,24,30,31,31,33,32,26,26,28,22,26,22,39,2,28,24,22,25,30,34,24,40,25,20,27,28,36,23,25,25,27,24,24
3488958014,29,31,33,25,,20,28,21,18,29,18,23,25,26,29,27,22,35,27,25,26,24,33,26,31,19,24,18,34,2,25,22,22,26,26,29,20,32,21,16,19,27,33,27,31,25,27,25,22
3867340014,23,24,22,22,22,,24,18,15,19,17,19,21,21,23,22,19,23,40,21,21,20,20,20,21,30,23,24,26,2,20,18,18,19,22,23,18,27,18,16,16,21,25,17,20,21,34,19,19
2033496620,29,29,25,29,25,20,,23,16,22,17,24,24,24,36,28,22,25,26,24,35,29,24,23,23,20,24,20,30,2,26,20,20,20,25,38,18,39,21,15,27,26,36,18,22,24,25,23,21
2492187213,41,44,41,42,38,29,45,,28,36,25,36,38,38,45,44,31,50,39,42,42,44,40,36,39,30,40,30,54,5,36,32,30,39,39,45,38,50,36,28,30,37,45,35,36,31,37,33,37
3982105842,14,13,14,15,14,11,14,13,,15,12,13,13,13,15,14,13,16,15,13,14,16,16,14,15,13,13,13,16,2,12,13,11,13,13,13,16,16,11,10,12,12,15,15,15,12,14,11,12
4004592883,29,26,32,25,31,18,26,22,20,,18,25,23,24,28,26,20,33,26,24,28,26,32,25,30,19,22,20,34,3,22,21,20,25,25,26,19,32,20,18,21,24,29,26,32,22,25,22,21
3937464902,18,18,15,16,16,14,17,12,13,15,,15,16,18,17,16,17,17,18,16,15,16,14,15,15,12,14,14,19,2,14,13,16,16,17,16,12,21,14,11,14,17,21,13,17,16,16,14,14
2555249116,32,32,29,31,28,22,34,25,21,29,22,,30,29,38,32,24,30,31,28,34,30,28,29,28,23,28,25,34,3,31,26,23,24,30,35,25,40,25,21,26,29,38,23,26,26,29,27,25
